nota,tgl,kode,tarif
JL23030001,2023-03-20,8,40000
JL23030001,2023-03-20,18,93750
JL23030002,2023-03-20,18,93750
JL23030001,2023-03-20,18,93750
JL23030001,2023-03-23,29,175000
JL23030001,2023-03-23,27,55000
JL23030002,2023-03-23,10,40000
JL23030003,2023-03-24,8,40000
JL23030003,2023-03-24,9,45000
JL23030003,2023-03-24,15,35000
JL23030004,2023-03-24,8,40000
JL23030004,2023-03-24,9,45000
JL23030004,2023-03-24,15,35000
JL23030005,2023-03-25,19,135000
JL23030005,2023-03-25,17,99000
JL23030005,2023-03-25,23,35000
JL23030006,2023-03-26,24,135000
JL23030007,2023-03-26,28,130000
JL23030008,2023-03-27,19,135000
JL23030008,2023-03-27,15,35000
JL23030009,2023-03-28,8,40000
JL23030009,2023-03-28,10,40000
JL23030010,2023-03-28,23,35000
JL23030011,2023-03-28,22,25000
JL23030012,2023-03-30,24,135000
JL23040001,2023-04-02,19,135000
JL23040002,2023-04-02,19,135000
JL23040002,2023-04-02,15,35000
JL23040003,2023-04-02,19,135000
JL23040003,2023-04-02,20,135000
JL23040004,2023-04-03,21,150000
JL23040005,2023-04-03,22,25000
JL23040006,2023-04-04,19,135000
JL23040006,2023-04-04,15,35000
JL23040006,2023-04-04,19,135000
JL23040006,2023-04-04,15,35000
JL23040007,2023-04-04,24,135000
JL23040008,2023-04-04,18,93750
JL23040008,2023-04-04,18,93750
JL23040008,2023-04-04,15,35000
JL23040008,2023-04-04,24,135000
JL23040009,2023-04-05,24,135000
JL23040010,2023-04-05,24,135000
JL23040011,2023-04-06,24,135000
JL23040012,2023-04-06,4,120000
JL23040013,2023-04-06,17,74250
JL23040014,2023-04-06,9,45000
JL23040014,2023-04-06,21,150000
JL23040015,2023-04-07,16,70000
JL23040015,2023-04-07,24,135000
JL23040016,2023-04-07,16,70000
JL23040016,2023-04-07,24,135000
JL23040017,2023-04-07,22,25000
JL23040018,2023-04-07,14,130000
JL23040018,2023-04-07,24,135000
JL23040018,2023-04-07,19,135000
JL23040018,2023-04-07,20,135000
JL23040019,2023-04-08,20,101250
JL23040020,2023-04-08,18,93750
JL23040021,2023-04-08,23,35000
JL23040022,2023-04-09,8,40000
JL23040022,2023-04-09,9,45000
JL23040023,2023-04-10,23,35000
JL23040023,2023-04-10,22,25000
JL23040024,2023-04-10,10,40000
JL23040024,2023-04-10,20,135000
JL23040025,2023-04-10,19,135000
JL23040026,2023-04-11,10,40000
JL23040027,2023-04-13,30,138750
JL23040027,2023-04-13,27,55000
JL23040027,2023-04-13,30,138750
JL23040027,2023-04-13,27,55000
JL23040028,2023-04-13,12,65000
JL23040029,2023-04-16,4,120000
JL23040030,2023-04-16,14,130000
JL23040031,2023-04-18,12,65000
JL23040032,2023-04-18,28,130000
JL23040032,2023-04-18,28,130000
JL23040033,2023-04-19,28,130000
JL23040034,2023-04-19,9,45000
JL23040034,2023-04-19,8,40000
JL23040035,2023-04-19,10,40000
JL23040036,2023-04-20,28,130000
JL23040037,2023-04-20,20,135000
JL23040038,2023-04-20,12,65000
JL23040039,2023-04-20,28,130000
JL23040039,2023-04-20,8,40000
JL23040039,2023-04-20,8,40000
JL23040039,2023-04-20,28,130000
JL23040040,2023-04-20,23,35000
JL23040041,2023-04-20,12,65000
JL23040042,2023-04-21,16,70000
JL23040043,2023-04-21,10,40000
JL23040043,2023-04-21,12,65000
JL23040043,2023-04-21,3,95000
JL23040044,2023-04-21,10,40000
JL23040045,2023-04-21,10,40000
JL23040046,2023-04-21,10,40000
JL23040046,2023-04-21,12,65000
JL23040046,2023-04-21,23,35000
JL23040046,2023-04-21,32,60000
JL23040047,2023-04-21,10,40000
JL23040047,2023-04-21,12,65000
JL23040047,2023-04-21,23,35000
JL23040048,2023-04-21,29,175000
JL23040049,2023-04-21,23,35000
JL23040050,2023-04-26,23,35000
JL23040051,2023-04-26,18,93750
JL23040051,2023-04-27,18,125000
JL23040052,2023-04-29,20,101250
JL23040053,2023-04-29,3,95000
JL23040054,2023-04-30,12,65000
JL23040054,2023-04-30,12,65000
JL23040055,2023-04-30,12,65000
JL23040056,2023-04-30,7,50000
JL23040057,2023-04-30,7,50000
JL23050001,2023-05-01,19,135000
JL23050001,2023-05-01,17,99000
JL23050001,2023-05-01,23,35000
JL23050002,2023-05-01,3,95000
JL23050003,2023-05-01,4,120000
JL23050004,2023-05-02,8,40000
JL23050004,2023-05-02,29,175000
JL23050005,2023-05-05,28,130000
JL23050005,2023-05-05,24,135000
JL23050006,2023-05-06,30,138750
JL23050007,2023-05-07,20,135000
JL23050007,2023-05-07,28,130000
JL23050008,2023-05-08,13,120000
JL23050009,2023-05-08,8,40000
JL23050010,2023-05-09,17,74250
JL23050011,2023-05-09,11,45000
JL23050012,2023-05-09,3,95000
JL23050012,2023-05-09,23,35000
JL23050013,2023-05-10,31,150000
JL23050013,2023-05-10,9,45000
JL23050014,2023-05-14,9,45000
JL23050014,2023-05-14,31,200000
JL23050014,2023-05-14,32,60000
JL23050015,2023-05-15,12,65000
JL23050016,2023-05-15,6,45000
JL23050017,2023-05-15,21,150000
JL23050017,2023-05-15,16,70000
JL23050018,2023-05-18,31,150000
JL23050019,2023-05-18,7,50000
JL23050019,2023-05-18,4,120000
JL23050020,2023-05-20,18,93750
JL23050021,2023-05-20,6,45000
JL23050022,2023-05-22,34,85000
JL23050022,2023-05-22,23,35000
JL23050022,2023-05-22,23,35000
JL23050022,2023-05-22,34,85000
JL23050023,2023-05-22,24,135000
JL23050024,2023-05-22,18,93750
JL23050025,2023-05-23,18,93750
JL23050025,2023-05-23,15,35000
JL23050025,2023-05-23,22,25000
JL23050026,2023-05-24,12,65000
JL23050027,2023-05-24,12,65000
JL23050028,2023-05-24,12,65000
JL23050029,2023-05-24,12,65000
JL23050030,2023-05-25,22,25000
JL23050030,2023-05-25,17,99000
JL23050031,2023-05-26,3,95000
JL23050032,2023-05-28,19,135000
JL23050032,2023-05-28,20,135000
JL23050033,2023-05-29,32,60000
JL23050033,2023-05-29,29,175000
JL23050034,2023-05-29,32,60000
JL23050035,2023-05-29,18,125000
JL23050035,2023-05-30,20,135000
JL23050036,2023-05-31,31,150000
JL23050037,2023-05-31,6,45000
JL23050038,2023-05-31,6,45000
JL23050039,2023-05-31,7,50000
JL23050040,2023-05-31,7,50000
JL23060001,2023-06-01,25,145000
JL23060002,2023-06-02,15,35000
JL23060002,2023-06-02,28,130000
JL23060003,2023-06-02,18,125000
JL23060004,2023-06-03,10,40000
JL23060004,2023-06-03,11,45000
JL23060005,2023-06-03,10,40000
JL23060006,2023-06-03,19,135000
JL23060007,2023-06-03,10,40000
JL23060007,2023-06-03,11,45000
JL23060008,2023-06-03,10,40000
JL23060008,2023-06-03,22,25000
JL23060009,2023-06-03,19,135000
JL23060010,2023-06-03,8,40000
JL23060011,2023-06-03,24,135000
JL23060012,2023-06-05,20,101250
JL23060013,2023-06-05,6,45000
JL23060014,2023-06-10,23,35000
JL23060015,2023-06-10,9,45000
JL23060015,2023-06-10,28,130000
JL23060015,2023-06-10,28,97500
JL23060015,2023-06-10,9,45000
JL23060016,2023-06-10,6,45000
JL23060017,2023-06-11,13,120000
JL23060018,2023-06-11,3,95000
JL23060018,2023-06-11,23,35000
JL23060019,2023-06-12,18,125000
JL23060020,2023-06-12,23,35000
JL23060021,2023-06-12,28,130000
JL23060022,2023-06-13,28,130000
JL23060023,2023-06-13,28,130000
JL23060024,2023-06-13,3,95000
JL23060025,2023-06-13,4,120000
JL23060026,2023-06-13,28,130000
JL23060027,2023-06-14,12,65000
JL23060028,2023-06-15,4,120000
JL23060029,2023-06-15,13,120000
JL23060030,2023-06-15,29,175000
JL23060031,2023-06-16,17,74250
JL23060032,2023-06-16,20,135000
JL23060033,2023-06-16,7,50000
JL23060033,2023-06-16,3,95000
JL23060034,2023-06-16,7,50000
JL23060035,2023-06-16,3,95000
JL23060035,2023-06-16,9,45000
JL23060036,2023-06-17,22,25000
JL23060037,2023-06-17,24,135000
JL23060037,2023-06-17,9,45000
JL23060038,2023-06-17,31,200000
JL23060038,2023-06-17,24,135000
JL23060039,2023-06-18,17,99000
JL23060039,2023-06-18,21,150000
JL23060040,2023-06-19,15,35000
JL23060040,2023-06-19,31,200000
JL23060041,2023-06-19,18,125000
JL23060042,2023-06-19,3,95000
JL23060042,2023-06-19,10,40000
JL23060043,2023-06-19,10,40000
JL23060043,2023-06-19,13,120000
JL23060044,2023-06-21,8,40000
JL23060044,2023-06-21,12,65000
JL23060045,2023-06-21,24,135000
JL23060045,2023-06-21,28,130000
JL23060046,2023-06-22,12,65000
JL23060046,2023-06-22,11,45000
JL23060047,2023-06-22,6,45000
JL23060048,2023-06-22,6,45000
JL23060049,2023-06-23,8,40000
JL23060049,2023-06-23,9,45000
JL23060049,2023-06-23,8,40000
JL23060049,2023-06-23,9,45000
JL23060049,2023-06-23,13,120000
JL23060050,2023-06-24,17,99000
JL23060050,2023-06-24,32,60000
JL23060051,2023-06-24,35,110000
JL23060052,2023-06-26,28,130000
JL23060053,2023-06-27,37,35000
JL23060054,2023-06-28,18,93750
JL23060055,2023-06-28,35,110000
JL23060055,2023-06-28,7,50000
JL23060056,2023-06-28,3,95000
JL23060057,2023-06-29,18,93750
JL23060058,2023-06-29,35,110000
JL23060058,2023-06-29,23,35000
JL23060059,2023-06-29,23,35000
JL23060060,2023-06-29,35,110000
JL23060060,2023-06-29,25,145000
JL23060061,2023-06-29,8,40000
JL23060061,2023-06-29,12,65000
JL23060061,2023-06-29,16,75000
JL23060061,2023-06-29,23,35000
JL23060062,2023-06-29,6,45000
JL23060063,2023-06-30,35,110000
JL23060064,2023-06-30,6,45000
JL23060065,2023-06-30,6,45000
JL23060066,2023-06-30,6,45000
JL23060067,2023-06-30,7,50000
JL23060068,2023-06-30,7,50000
JL23070001,2023-07-01,3,95000
JL23070002,2023-07-01,3,95000
JL23070003,2023-07-02,4,120000
JL23070003,2023-07-02,4,120000
