"nota","tgl","kode","tarif","fpkt"
"JL23030001","2023-03-20","0008","40000",
"JL23030001","2023-03-20","0018","93750","**"
"JL23030002","2023-03-20","0018","93750","**"
"JL23030001","2023-03-20","0018","93750","**"
"JL23030001","2023-03-23","0029","175000",
"JL23030001","2023-03-23","0027","55000",
"JL23030002","2023-03-23","0010","40000",
"JL23030003","2023-03-24","0008","40000",
"JL23030003","2023-03-24","0009","45000",
"JL23030003","2023-03-24","0015","35000",
"JL23030004","2023-03-24","0008","40000",
"JL23030004","2023-03-24","0009","45000",
"JL23030004","2023-03-24","0015","35000",
"JL23030005","2023-03-25","0019","135000",
"JL23030005","2023-03-25","0017","99000",
"JL23030005","2023-03-25","0023","35000",
"JL23030006","2023-03-26","0024","135000",
"JL23030007","2023-03-26","0028","130000",
"JL23030008","2023-03-27","0019","135000",
"JL23030008","2023-03-27","0015","35000",
"JL23030009","2023-03-28","0008","40000",
"JL23030009","2023-03-28","0010","40000",
"JL23030010","2023-03-28","0023","35000",
"JL23030011","2023-03-28","0022","25000",
"JL23030012","2023-03-30","0024","135000",
"JL23040001","2023-04-02","0019","135000",
"JL23040002","2023-04-02","0019","135000",
"JL23040002","2023-04-02","0015","35000",
"JL23040003","2023-04-02","0019","135000",
"JL23040003","2023-04-02","0020","135000",
"JL23040004","2023-04-03","0021","150000",
"JL23040005","2023-04-03","0022","25000",
"JL23040006","2023-04-04","0019","135000",
"JL23040006","2023-04-04","0015","35000",
"JL23040006","2023-04-04","0019","135000",
"JL23040006","2023-04-04","0015","35000",
"JL23040007","2023-04-04","0024","135000",
"JL23040008","2023-04-04","0018","93750","**"
"JL23040008","2023-04-04","0018","93750","**"
"JL23040008","2023-04-04","0015","35000",
"JL23040008","2023-04-04","0024","135000",
"JL23040009","2023-04-05","0024","135000",
"JL23040010","2023-04-05","0024","135000",
"JL23040011","2023-04-06","0024","135000",
"JL23040012","2023-04-06","0004","120000",
"JL23040013","2023-04-06","0017","74250","**"
"JL23040014","2023-04-06","0009","45000",
"JL23040014","2023-04-06","0021","150000",
"JL23040015","2023-04-07","0016","70000",
"JL23040015","2023-04-07","0024","135000",
"JL23040016","2023-04-07","0016","70000",
"JL23040016","2023-04-07","0024","135000",
"JL23040017","2023-04-07","0022","25000",
"JL23040018","2023-04-07","0014","130000",
"JL23040018","2023-04-07","0024","135000",
"JL23040018","2023-04-07","0019","135000",
"JL23040018","2023-04-07","0020","135000",
"JL23040019","2023-04-08","0020","101250","**"
"JL23040020","2023-04-08","0018","93750","**"
"JL23040021","2023-04-08","0023","35000",
"JL23040022","2023-04-09","0008","40000",
"JL23040022","2023-04-09","0009","45000",
"JL23040023","2023-04-10","0023","35000",
"JL23040023","2023-04-10","0022","25000",
"JL23040024","2023-04-10","0010","40000",
"JL23040024","2023-04-10","0020","135000",
"JL23040025","2023-04-10","0019","135000",
"JL23040026","2023-04-11","0010","40000",
"JL23040027","2023-04-13","0030","138750","**"
"JL23040027","2023-04-13","0027","55000",
"JL23040027","2023-04-13","0030","138750","**"
"JL23040027","2023-04-13","0027","55000",
"JL23040028","2023-04-13","0012","65000",
"JL23040029","2023-04-16","0004","120000",
"JL23040030","2023-04-16","0014","130000",
"JL23040031","2023-04-18","0012","65000",
"JL23040032","2023-04-18","0028","130000",
"JL23040032","2023-04-18","0028","130000",
"JL23040033","2023-04-19","0028","130000",
"JL23040034","2023-04-19","0009","45000",
"JL23040034","2023-04-19","0008","40000",
"JL23040035","2023-04-19","0010","40000",
"JL23040036","2023-04-20","0028","130000",
"JL23040037","2023-04-20","0020","135000",
"JL23040038","2023-04-20","0012","65000",
"JL23040039","2023-04-20","0028","130000",
"JL23040039","2023-04-20","0008","40000",
"JL23040039","2023-04-20","0008","40000",
"JL23040039","2023-04-20","0028","130000",
"JL23040040","2023-04-20","0023","35000",
"JL23040041","2023-04-20","0012","65000",
"JL23040042","2023-04-21","0016","70000",
"JL23040043","2023-04-21","0010","40000",
"JL23040043","2023-04-21","0012","65000",
"JL23040043","2023-04-21","0003","95000",
"JL23040044","2023-04-21","0010","40000",
"JL23040045","2023-04-21","0010","40000",
"JL23040046","2023-04-21","0010","40000",
